20091112_RATP_SCD_0126	bonjour oui bonjour euh j' habite à cachan je voudrais aller et qu' il y a si euh c' est le tvm normalement euh qui fonctionne le dimanche c' est l' oubli le dimanche oui circule tous les jours ce bus alors à quel arrêt vous prenez euh cachan dimanche matin mairie de cachan d' accord un instant madame et que le cent quatre vingt sept cent quatre vingt sept oui il faudrait que vous descendiez à l' arrêt tuilerie tuilerie oui donc vous avez le tvm à la hauteur du de l' arrêt docteur tesny heures c' est d' accord bah je vous remercie	ITNR
20101206_RATP_SCD_0185	bonjour oui bonjour madame euh donc j' habite euh euh comment dire euh on va dire en gros euh rue demain je voudrais aller euh rue bichat dans le dixième arrondissement normalement pour pour le métro c' est concours par contre je voudrais savoir quel bus ce ce serait plus commode alors de la rue en donner rue bichat en bus simic moi c' est bon courage un instant je recherche merci monsieur s' il vous plaît euh vous devez prendre depuis saint alors le premier bus c' est le bus trente et un c' était le disque ne trente et un je alors juste quelques j' les appeler ah oui d' accord et je regarde quarante six oui du château de vincennes jusqu' à l' arrêt l' hôpital saint louis hôpital saint louis est ce que tu sais pas loin après ou quoi qu' est ce qui est pas loin après monsieur non mais je viens de vous euh vous me dites arrêt st-louis ben là je viens de vous dire que rue bichat pas la question vous devez comprendre très bien monsieur vous avez raison vous êtes pas loin monsieur je vous souhaite une excellente journée	ITNR
20101206_RATP_SCD_0192	va vous répondre bonjour bonjour c' est la mairie de son de la police municipale oui je me permettais de vous appeler concernant un animal mort c' est à dire un renard euh il y a les quatre attends l' air qui se trouve le long de la voie ferrée euh vos deux trente et un résidences au dessus qui s' appelle la résidence esterel oui il y a un parking et c' est en face le parking numéro vingt six alors et c' est sur les voies de la ratp ce que vous me dites hein oui tout à fait moi ratp oui alors je vais vous mettre en relation directement avec le service pouvez patienter merci oui jamait service clientèle ligne b bonjour oui bonjour c' est service entre la distance je t' appelle j' ai une dame qui voulait se faire pas euh de l' anonymat sur les voies voulez absolument parler au service clientèle je peux te la passer n' allait pas du merci	NULL
20110704_RATP_SCD_0279	un instant on va vous répondre bonjour s' il vous plaît oui bonjour madame qui vont être déranger je me permets de vous appeler parce que j' aurais voulu savoir quelle est la ligne de métro qui qui va aux champs elysées le quatorze juillet pour le défilé un au départ de la gare à la date euh la gare sur les champs il y a pas mal de stations de fermées après ça dépend des concorde est ouverte oui c' est une un accès en général est ouvert à concorde c' est pour le jour du défilé du quatorze juillet donc euh il y a un accès de ouvert à concorde en général le reste ça dépend de la situation et charles de gaulle etoile rer non il y en a que c' est ouvert j' arrive à saint lazare donc vous prenez la quatorze euh mais vous descendez à madeleine oui d' accord euh le le quatorze et je descends à la madeleine à madeleine parce que le reste ça risque de puis fermé d' accord oui c' est pas très loin après non non non d' accord très bien je vous bonne journée enfants madame	ETFC
20091112_RATP_SCD_0781	bonjour oui bonjour euh je vous appelle pour savoir nous on sera l' état de euh j' ai des bus quelle ligne monsieur sur la ligne trois cent vingt cinq trois cent vingt cinq vincennes oui pour aujourd'hui alors vous patientez donc comme je sais euh simplement espanssa vous appeler un une grève je vais me renseigner patientez si on fait monsieur donc euh là apparemment il y a que trois lignes trois bus qui tournent dans la ligne y a que trois bus oui donc après par contre euh au niveau du bus des fréquences pas vous les donner parce que euh là ça ça n' est pas respecté savoir euh ça vous donner de mauvaises informations la gare donc ça sera comme ce matin quoi ça deux je crois qui tournent et là il y en a un renseignement supplément mais bon non bah faut compter une heure pas ça fait je peux pas vous dire franchement là l' agent n' a fait oui en prie bonne journée	ETFC
20091112_RATP_SCD_0746	bonjour champs oui bonjour monsieur euh je voudrais savoir s' il vous plaît le rer b mais il y a comme bernard oui voilà il y avait trop en grève jusqu' à quand quand alors je sais pas sincèrement c' est revenu reconductible tous les jours parce que tous les jours et on nous dit là je vois euh sur le site trois rer sur quatre c' est fou ça ça c' est aux heures de pointe normalement c' était l' heure de pointe euh j' ai pas pu avoir sur le rer a oui bon alors de printemps monsieur euh donc vous savez pas si c' est reconduit demain non on a pas d' information pour le moment non non non je suis désolé et donc on peut nous remboursaient nous en temps je pense que je pense que d' autres si on sait bien que c' est pas la grève c' est autre chose qui est euh je veux dire et on nous a dit ah je pars avec un chauffeur me dit que ça allait s' empirer encore enfin ça construisait et sept heures et cetera et donc forcément il y a encore vous demander que ça euh un au début quand j' ai trouvé dans ce service le rer b était c' était le la une des meilleures ligne et par rapport au rer a également c' était vraiment la catastrophe ça bouscule un peu ouais mais euh euh quand euh c' est quand même quand il y a pas de grève fonctionne normalement non mais bien d' accord bon vous en prie bonne fin journée quand au revoir	ETFC
20110704_RATP_SCD_0474	bonjour bonjour madame je voulais savoir s' il est possible deux euh de ça vous a si euh il y avait une grève ratp deviennent non disons que je euh à à huit heures vingt et un juin oui sur la ligne rer le rer a et b rer a et b sur le site internet que je ne suis pas bien où je regarde nous on a des rapports chouinard journalier classeur grève à euh c' est ce que j' ai un donc effectivement le mardi vingt et un juin et puis il y a une grève ça commençait à quatre pas à quatre heures du matin mardi quatre heures du matin jusqu'au mercredi six heures trente mais il y a il y a quand même des des trains qui vont circuler d' accord voilà mais il y a effectivement il y a une grève ce jour là d' accord ok les vous savez le la quantité de trains qui ont circulé non pas cette information là d' accord non non mais c' est très bien je vous fais faire je vous en prie au revoir merci de même au revoir merci	ETFC
20091112_RATP_SCD_0209	bonjour oui euh le bonjour en fait je suis étudiante et euh la dernière fois donc je me suis pris maman puisque j' avais un ticket à demi tarif oui et euh je n' avais pas ma carte avec l' âge ma carte comment est ce que je dois faire euh je dois régler euh mon amende comme puisque je de poser la question contrôleurs il m' indique un que je devais bah pour aller très il y avait des je n' ai pas payé d' amende c' est un un pv que vous avez où ça dans le bus bah il faut vous rendre à l' adresse que il y a le procès verbal pour pour voir si peux vous êtes dans une mesure d' indulgence d' accord ok merci beaucoup	PV
20110704_RATP_SCD_0018	va vous répondre bonjour il y a le bonjour je vous appelle car euh j' ai perdu mon porte monnaie dans un euh prend et ça serait savoir quel euh comment fais en fait oui et le et le train c' était le train première trop oui il faut voir avec la sncf hein maintenant merci je vous en prie	OBJT
20091112_RATP_SCD_0356	bonjour oui bonjour ça serait pour savoir le tribun billet de train pour euh parler montre aussi vous serez vous plaît huit euros cinquante huit euros cinquante et un travail et je voudrais savoir s' il y a des changements ah bah c' est gare de lyon le train gare de lyon gare de lyon et après c' est direct tout à fait labrosse direction laroche migennes vingt heures bah je vous remercie mais je vous en prie monsieur	TARF
20091112_RATP_SCD_0671	bonjour je vous écoute oui bonjour madame je vous appelle pour savoir s' ils vont vous aurez pas rabelais ce sac de voyage s' il vous plaît alors vous avez perdu un sac de voyage aujourd'hui non il y a à peu près une semaine c' était quand exactement qu' il a été perdu madame quelques jours c' était le vendredi saint je crois le cinq novembre sur quel réseau madame métro bus métro métro quelle ligne euh direction euh c' était la ligne un direction nation alors un sac de voyage de quelle couleur euh noir euh moyen ni grand ni petit moyen d' accord et qui avait une étiquette au nom euh non il y avait pas de non de voyageurs mais c' était un sac dior parfumerie en toile contenant bon maintenant qu' il y avait une trousse marron avec tous les euh l' essentiel de toilettes pas il y avait deux gros de grosses pour les cheveux des vêtements euh un blouson à euh des vêtements quoi sac vous patientez un instant madame merci madame le jeudi cinq ou le vendredi six novembre le vendredi six novembre d' accord ne quittez pas il y avait des papiers d' identité madame carte de séjour permis de conduire chose dans le bus ça ne quittez pas madame oui non malheureusement non ça n' a pas été retrouvé madame j' ai rien qui correspond à ce que vous avez perdu d' accord bah écoutez oui merci beaucoup oui madame à votre service	OBJT
20101206_RATP_SCD_0493	un instant on va vous répondre bonjour si vous vous vous vous permets de vous appeler j' aurais besoin de me rendre à marne la vallée oui donc euh j' arrive à austerlitz autour de huit heures et demi euh dimanche matin je voulais savoir comment ça se passait après pour aller jusqu' à marne alors de c' est euh ouais complimentais disney oui d' accord oui marne-la-vallée quoi comme j' ai pas trop comment on est là bas un dimanche hein dimanche quoi oui euh en arrivant à la gare d' austerlitz ainsi le permet assistant le terminus qui il fait pas trop froid au coup ce n' est pas tout chargé que vous faites euh vous allez côté du rer c vous traversez le pont qu' il passe à la gare de lyon moi je c' est ce qu' on m' avait dit c' est plus quoi ah bah il faut peut être arrivé à gare de lyon après vous allez sur les quais du rer a oui direction marne la vallée chessy ce si vous et vous descendez au terminus marne la vallée chessy vous êtes arrivé au parc euro disney d' accord la fréquence des les dix minutes dix minutes au niveau de on a il faut prendre un billet quelque part oui oui ben vous vous achetez votre billet euh moi si vous si vous en passant devant la à la gare d' austerlitz en passant devant les billetteries on pouvait trouver acheter votre billet sinon à gare de lyon en entrant en gare de lyon je me suis renseigné il y a d' une pièce euh ils font plus tout ça c' est à dire vous c' est compliqué mais avec le une entrée ou des choses comme ça euh je voulais un premier province peut être ah non non non du tout non c' est en arrivant sur paris bon soit à la gare d' austerlitz soit à la gare de lyon d' accord je pensais qu' on pouvait prendre de pas prendre des billets ratp dans n' importe quelle gare sncf pas pour euh ça ce sont des billets banlieue c' est pas des d' accord on n' a rien à voir personne ok très bien euh et pour euh lundi euh lundi soir ça marche pas et pour le retour d' l' appareil pour rené vous reprenez votre rer a par la main il y a des horaires ou c' est que ça s' arrête bah le soir ça s' arrête le dernier départ il doit rapidement il vingt je crois très bien pour revenir sur paris donc euh vous arrêtez à gare de lyon et pareil gare de lyon vous prenez la sortie euh van gogh oui et puis vous traversez le pont est juste en face civard vous arrivez de l' autre côté à gare d' austerlitz ok bah super très bien et bien bonne fin de journée	ITNR
